time,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10
0.0,0.11,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
0.01001001001001001,0.10928217507206259,0.09880474998073939,0.10194209725858448,0.10086086220963324,0.09999809327151137,0.10178711523358157,0.10015297711364263,0.09916068391894926,0.100518946000058,0.10017415342300616
0.02002002002002002,0.11179373831654296,0.09772895668646353,0.10280624761754932,0.10016181578888572,0.09966733987004545,0.10168687639523862,0.10227471123980851,0.09691716824474524,0.10047267618200022,0.10022362374009103
0.03003003003003003,0.11184277843918787,0.09718264694867766,0.1023093344904214,0.10102194316020384,0.09943496105539898,0.10338015544515336,0.10253807909748708,0.09588372334691016,0.10084665207104682,0.10036979548361934
0.04004004004004004,0.11215709147256124,0.09632754605022086,0.10201198566865699,0.10253322700237286,0.10035766255346651,0.10390494802801653,0.10300280138817564,0.09574648321335298,0.10067572418743888,0.10044919040879374
0.050050050050050046,0.11329229527315948,0.09707951892935097,0.10235597871901567,0.10120122533098788,0.10071974376192452,0.1045088256479927,0.10266855056087808,0.09702145499481574,0.10010408533875473,0.09940287723522338
0.06006006006006006,0.1138359207377797,0.09739849105760277,0.10274692026918933,0.1016643772850057,0.10044388789118369,0.10379438205714442,0.10284632900750226,0.09728369184169787,0.09840630751135963,0.09985057817863995
0.07007007007007007,0.11329756047698598,0.09543225764292958,0.10438694713754675,0.10071432192198473,0.10039312633272353,0.10341565546517606,0.10214066576341427,0.09731739530732493,0.09939825907585534,0.10203365737221753
0.08008008008008008,0.11454779430699377,0.0958756398968673,0.10447922247422824,0.10139378838946111,0.09929242791403402,0.10436490987134,0.10262172813244012,0.09640907108025672,0.09847628897444666,0.1025790073000448
0.09009009009009009,0.11491435283253912,0.0965387227745332,0.10392617522253046,0.10081361897020709,0.09824898716200248,0.10503884622470053,0.10244132660933805,0.09730420926867331,0.09814240380803238,0.10274867546945599
