osc_0,osc_1,osc_2,osc_3,osc_4,osc_5,osc_6,osc_7,osc_8,osc_9
1.3491861269516292,-0.7858203989433044,-1.8791381501970683,-1.0126300665858956,-1.0519004747159055,-0.097097440025401,0.8708543972562488,-2.2521270941133764,-0.8935150837199757,-0.34636092047097833
1.3495653037357336,-0.7858915726342453,-1.8795468156853623,-1.0125650464890779,-1.0517666151184102,-0.09716760191858381,0.8706443854070045,-2.2519206242929357,-0.8934137968331868,-0.3464867207344291
1.3499461655921863,-0.7859632943683525,-1.8799549107747282,-1.0125002989014753,-1.0516332400427153,-0.09723962938635311,0.8704304551275577,-2.2517094597859,-0.8933130769108732,-0.3466118151125741
1.3503286447829055,-0.786035549987929,-1.880362392042212,-1.0124358136907041,-1.0515003433876569,-0.0973135407746406,0.870212602499798,-2.251493612775768,-0.8932129204087147,-0.34673617877845064
1.3507126735701647,-0.7861083253351442,-1.8807692160653033,-1.0123715807242029,-1.0513679190522929,-0.09738935442939328,0.8699908236059706,-2.251273095445505,-0.8931133237826572,-0.3468597869051404
1.3510981842160596,-0.786181606252434,-1.8811753394215813,-1.0123075898693212,-1.0512359609354593,-0.09746708869655951,0.8697651145284091,-2.2510479199786104,-0.8930142834883359,-0.3469826146656585
1.3514851089830415,-0.7862553785821014,-1.881580718688447,-1.0122438309937642,-1.0511044629361255,-0.09754676192208073,0.869535471349181,-2.25081809855876,-0.8929157959814304,-0.3471046372330422
1.3518733801330285,-0.7863296281664489,-1.8819853104433903,-1.0121802939651037,-1.0509734189533937,-0.0976283924519053,0.8693018901507088,-2.2505836433690973,-0.8928178577179757,-0.3472258297804176
1.3522629299282052,-0.7864043408477794,-1.8823890712636349,-1.012116968650556,-1.0508428228859223,-0.09771199863196356,0.86906436701506,-2.2503445665929434,-0.8927204651535181,-0.3473461674807554
1.3526536906307562,-0.7864795024683513,-1.8827919577265817,-1.0120538449178262,-1.0507126686328139,-0.09779759880819971,0.8688228980243906,-2.2501008804137967,-0.8926236147436928,-0.34746562550711513
1.3530455945028663,-0.7865550988706005,-1.8831939264099873,-1.0119909126344862,-1.0505829500931263,-0.09788521132657463,0.8685774792610346,-2.249852597015334,-0.892527302944579,-0.34758417903264505
1.3534385738068977,-0.7866311158968298,-1.8835949338912528,-1.0119281616679743,-1.0504536611656956,-0.09797485453302696,0.868328106807148,-2.249599728580698,-0.8924315262118121,-0.34770180323029365
1.3538325608048574,-0.7867075393892531,-1.8839949367476905,-1.0118655818858624,-1.0503247957494466,-0.09806654677349674,0.8680747767448871,-2.24934228729321,-0.892336281001116,-0.34781847327312043
1.3542274877590188,-0.7867843551903064,-1.884393891556968,-1.011803163155589,-1.0501963477433929,-0.0981603063939282,0.8678174851566745,-2.2490802853361913,-0.8922415637683478,-0.3479341643342293
1.3546232869314778,-0.7868615491422482,-1.8847917548963977,-1.011740895344726,-1.050068311046548,-0.09825615174026553,0.8675562281247551,-2.2488137348934956,-0.892147370969143,-0.34804885158665755
1.3550198905843303,-0.786939107087381,-1.885188483343203,-1.0116787683207562,-1.0499406795577038,-0.09835410115845572,0.8672910017311075,-2.2485426481486215,-0.892053699059403,-0.34816251020346467
1.3554172309800272,-0.787017014868141,-1.8855840334753182,-1.0116167719512958,-1.0498134471759624,-0.0984541729944513,0.8670218020580656,-2.248267037284357,-0.8919605444949408,-0.34827511535768796
1.3558152403805757,-0.7870952583266533,-1.8859783618697001,-1.011554896103739,-1.0496866078001599,-0.09855638559417568,0.8667486251877854,-2.2479869144842013,-0.8918679037312138,-0.3483866422223203
1.3562138510479826,-0.7871738233053094,-1.8863714251038388,-1.0114931306455244,-1.0495601553291767,-0.0986607573035772,0.866471467202512,-2.2477022919316525,-0.8917757732241238,-0.3484970659704878
1.3566129952446104,-0.7872526956465453,-1.8867631797556683,-1.0114314654443124,-1.0494340836621152,-0.09876730646861537,0.8661903241844016,-2.247413181810387,-0.8916841494296612,-0.34860636177527216
1.3570126052328213,-0.7873318611924862,-1.8871535824021457,-1.0113698903676749,-1.0493083866979447,-0.09887605143522188,0.8659051922157879,-2.247119596303726,-0.8915930288034168,-0.34871450480966626
1.357412613274711,-0.7874113057855681,-1.8875425896210274,-1.0113083952830948,-1.0491830583355455,-0.09898701054934511,0.8656160673790048,-2.246821547594635,-0.8915024078010703,-0.3488214702467074
