osc_0,osc_1,osc_2,osc_3,osc_4,osc_5,osc_6,osc_7
0.39757070548969153,0.41287980752304776,0.3981492424499855,0.3841095710673148,0.3837144953962479,0.39690549085262816,0.39500102258842595,0.395120621422862
0.39755092584909946,0.4122038309049003,0.39804852410050273,0.3845403217675347,0.3841551914300467,0.3968561925169922,0.39498959544737033,0.3951063747738903
0.39753094251837595,0.4115081812322785,0.39794522823308753,0.3849834186461454,0.3846082817436258,0.3968057943326109,0.3949776100555802,0.395091500028677
0.39751077261671597,0.4107938117188681,0.3978394878054736,0.3854382582729965,0.3850731571900301,0.3967543575168264,0.3949650886459377,0.39507602302406575
0.3974904332634921,0.410061675578266,0.3977314357749506,0.3859042372176269,0.3855492086219048,0.3967019432867147,0.39495205345092543,0.3950599695965007
0.3974699415780769,0.40931272602433566,0.3976212050994299,0.38638075204997513,0.38603582689229476,0.39664861285961805,0.39493852670346996,0.3950433655829588
0.397449314679843,0.4085479162707628,0.3975089287365563,0.38686719933980207,0.3865324028540673,0.3965944274526123,0.39492453063632027,0.3950262368201951
0.397428569688163,0.4077681995312332,0.39739473964388594,0.3873629756567798,0.3870383273600453,0.3965394482832174,0.3949100874821809,0.3950086091448757
0.39740772372223176,0.40697452901934383,0.3972787707789749,0.387867477570758,0.38755299126314036,0.3964837365684204,0.3948952194738453,0.3949905083937555
0.39738679390133314,0.4061678579488692,0.3971611550993792,0.3883801016514532,0.3880757854161754,0.39642735352538594,0.394879948844018,0.3949719604036339
0.3973657973449285,0.40534913953349516,0.39704202556292145,0.38890024446853744,0.388606100672062,0.39637036037154516,0.39486429782544796,0.3949529910111771
0.39734475117239043,0.4045193269869074,0.3969215151271577,0.3894273025918604,0.389143327883712,0.39631281832415155,0.3948482886509286,0.3949336260532288
0.3973236725029139,0.40367937352296934,0.39679975674964396,0.3899606725912719,0.3896868579040369,0.39625478860028096,0.39483194355325324,0.394913891366544
0.39730257845578265,0.4028302323551003,0.3966768833879364,0.3904997510362662,0.390236081585682,0.39619633241700924,0.3948152847649933,0.39489381278765556
0.3972814861504581,0.40197285669707483,0.39655302799976866,0.3910439344967376,0.39079038978173664,0.39613751099185635,0.3947983345190753,0.39487341615354055
0.39726041270622403,0.40110819976266754,0.39642832354269686,0.39159261954253566,0.391349173345068,0.39607838554198693,0.3947811150482039,0.39485272730086507
0.397239375242453,0.400237214765653,0.39630290297427706,0.39214520274333253,0.39191182312854345,0.3960190172846545,0.3947636485850836,0.3948317720664285
0.3972183908784288,0.39936085491962814,0.396176899252243,0.3927010806688003,0.39247772998494135,0.3959594674369349,0.39474595736246343,0.39481057628685257
0.3971974767334352,0.3984800734381899,0.3960504453343283,0.3932596498888774,0.3930462847671734,0.3958997972161704,0.39472806361318113,0.39478916579893664
0.39717664992675594,0.39759582353520173,0.3959236741778227,0.3938203069731916,0.3936168783282401,0.39584006783961456,0.3947099895699413,0.3947675664395245
