epoch,W1[0],W1[1],W1[2],W1[3],W1[4],W1[5],W1[6],W1[7],W1[8],W1[9],W1[10],W1[11],W1[12],W1[13],W1[14],W1[15],W1[16],W1[17],W1[18],W1[19],W2[0],W2[1],W2[2],W2[3],W2[4],W2[5],W2[6],W2[7],W2[8],W2[9]
0,-0.31846356539229215,-0.26168911434679687,-2.7383360669959234,0.004306678337025037,-0.30060404088361453,0.621074755800536,1.411044092399867,0.3343932378833257,-0.6593863193427856,-0.4122409293978073,0.9196646239960129,-1.55717241756117,-2.3141315689669684,-0.3324916328348348,0.4203159671322061,-0.8827746190954759,-0.9331801502099865,1.05818401740289,-0.7941671251122334,0.727121612012995,1.2811853696583442,-1.3958157490985161,0.6740981239157431,-1.066352992286163,-2.7289376538277264,-0.9533586472367992,-1.4687745530051108,-0.3475864703264456,-1.7716512000854023,-1.079814832650944
1,-0.317555023701328,-0.2622070309527997,-2.73832323776594,0.003501721712294066,-0.3027132884509359,0.6203477723267053,1.4099661088624098,0.33422166280608256,-0.6602285181255471,-0.41305810651531943,0.9205487642406579,-1.5576726974430157,-2.3141241989675216,-0.33327186881568116,0.4182690423382758,-0.8834829486509942,-0.9342289745901936,1.058018604952249,-0.7949732105769074,0.7263268911358183,1.283105631465871,-1.395415115143756,0.6740972328946334,-1.0651105079475844,-2.7273688729939365,-0.952053798530402,-1.4669029849715178,-0.34518879320251333,-1.7711090442510597,-1.0781023647668928
2,-0.31662949099265464,-0.2627335052171626,-2.7383101827067042,0.00268356537460785,-0.304859992413392,0.619608937279774,1.4088693173539741,0.33404815974170804,-0.6610842734744689,-0.41388896817886767,0.9214491485580237,-1.5581810268060126,-2.3141167674632706,-0.3340645991116567,0.41618656045257635,-0.8842026098441306,-0.9352958011697223,1.057851406593269,-0.7957918024782101,0.7255191383575865,1.2850613280883272,-1.3950081754171566,0.6740961267310841,-1.0638480828787895,-2.7257774837648445,-0.9507276016399105,-1.465000553619904,-0.342749260837977,-1.7705587835422913,-1.0763618415401988
3,-0.315686389908946,-0.26326880881165116,-2.7382968944496335,0.0018517942587956279,-0.30704535580580583,0.6188578795567522,1.4077531066850195,0.3338726894600647,-0.6619540095203379,-0.41473394869218355,0.9223663191577869,-1.5586976543352407,-2.3141092747488208,-0.3348702071047501,0.4140674073522885,-0.8849339508044685,-0.9363812058014345,1.0576823882943733,-0.7966232771060311,0.7246979490175119,1.2870536508545725,-1.394594740102976,0.6740947918415116,-1.0625651037850552,-2.7241628561700426,-0.9493793891869108,-1.4630662911024153,-0.3402665104345406,-1.7700001822840041,-1.0745923910488397
4,-0.3147251152265508,-0.2638132258365638,-2.7382833652841865,0.0010059744835384697,-0.30927063635980473,0.6180942113007644,1.4066168372615062,0.3336952118859791,-0.6628381695809009,-0.41559350216717317,0.9233008438971658,-1.5592228397372023,-2.3141017212579023,-0.33568909306421074,0.4119104198005618,-0.8856773350356986,-0.9374857906347943,1.0575115154322126,-0.797468026989145,0.7238629004661621,1.289083847869277,-1.3941746112604168,0.6740932136536593,-1.0612609303510485,-2.7225243352697306,-0.9480084638642203,-1.461099186032928,-0.3377391158787612,-1.7694329950571586,-1.0727931026502264
5,-0.313745032140959,-0.2643670535477924,-2.7382695871377565,0.00014565226074407067,-0.31153714965172635,0.6173175269344676,1.4054598394007816,0.33351568610956195,-0.6637372172719931,-0.4164681036777407,0.9242533178204073,-1.5597568543587665,-2.314094107581084,-0.3365216750896114,0.4097143827366951,-0.8864331422779385,-0.9386101856417299,1.0573387528168134,-0.7983264617782831,0.7230135510517656,1.2911532274476074,-1.3937475823902712,0.6740913765209986,-1.0599348937360953,-2.7208612399378116,-0.9466140967317497,-1.4590981809969017,-0.33516558400222546,-1.7688569662014393,-1.070963024808767
6,-0.31274547442637923,-0.2649306031344229,-2.738255551554175,-0.0007296472701289269,-0.31384627246369207,0.6165274021273488,1.4042814115287559,0.3333340704022699,-0.6646516376951082,-0.41735825049339725,0.9252243648076486,-1.5602999818466992,-2.314086434485658,-0.33736839011542047,0.4074780263942604,-0.8872017694267201,-0.9397550502469462,1.0571640647234235,-0.7991990091844942,0.722149439039666,1.293263161796035,-1.39331343797553,0.674089263628458,-1.0585862949721003,-2.719172861581063,-0.9451955253985197,-1.4570621698936266,-0.33254435058056236,-1.7682718292901174,-1.0691011627816733
7,-0.311725742458953,-0.2655042005508011,-2.7382412496707214,-0.001620421288553111,-0.3161994463737286,0.6157233926918725,1.4030808182489836,0.33315032223969954,-0.6655819387072737,-0.41826446339881035,0.9262146393418215,-1.5608525188506372,-2.314078702937983,-0.3382296949813971,0.40520002323576365,-0.8879836315126778,-0.9409210750705826,1.0569874149320904,-0.8000861159763755,0.7212700814601558,1.2954150909589752,-1.3928719529944409,0.6740868568884715,-1.057214403257434,-2.717458462791672,-0.9437519520825632,-1.4549899950985188,-0.32987377605105545,-1.7676773065757432,-1.0672064761531506
8,-0.3106851010921982,-0.2660881874073025,-2.7382266721935213,-0.0025271906264302435,-0.31859818159199954,0.6149050334030625,1.4018572882734925,0.33296439833225583,-0.6665286522795566,-0.4191872881059376,0.927224828402977,-1.5614147757725572,-2.3140709141285964,-0.33910606757340067,0.4028789846918063,-0.8887791627462386,-0.9421089837917073,1.056808766776182,-0.8009882490399457,0.7203749728795994,1.2976105270525982,-1.3924228924044457,0.6740841368262059,-1.0558184541396938,-2.7157172759305404,-0.9422825415398635,-1.4528804444322108,-0.32715214092701983,-1.7670731084053235,-1.065277876206486
9,-0.30962277737225596,-0.2666829219243832,-2.738211809371216,-0.003450501195297529,-0.32104406106145117,0.6140718367356858,1.40061001220437,0.33277625466501964,-0.6674923359510172,-0.42012729676591204,0.9282556535001705,-1.561987077565972,-2.314063069500487,-0.33999800803949237,0.40051345769209556,-0.8895888176318996,-0.9433195351417685,1.0566280832012251,-0.8019058965051002,0.7194635840894243,1.2998510588089218,-1.3919660105954008,0.6740810824526762,-1.054397647579839,-2.713948501638917,-0.9407864188528813,-1.4507322479222597,-0.32437764088540844,-1.7664589326036673,-1.0633142231229373
10,-0.30853795807941437,-0.2672887799548456,-2.738196650966769,-0.004390925514447977,-0.3235387448424822,0.6132232915127693,1.3993381401542206,0.33258584654834306,-0.6684735743854516,-0.4210850895884014,0.9293078728518589,-1.5625697645882908,-2.3140551707809314,-0.3409060400864949,0.39810192097506125,-0.8904130721569599,-0.9445535250377972,1.05644532683565,-0.802839568942758,0.7185353607072203,1.30213835645517,-1.391501050810462,0.674077671124281,-1.052951145889797,-2.7121513072761654,-0.9392626670686072,-1.4485440743423197,-0.32154838150231013,-1.765834463823652,-1.0613143229956925
11,-0.30742978708118546,-0.2679061560796345,-2.738181186227272,-0.005349064347712787,-0.3260839748026053,0.6123588614587182,1.3980407791926603,0.3323931286809439,-0.6694729810388164,-0.4220612965767518,0.930382283726629,-1.5631631935099568,-2.3140472200173936,-0.3418307123624636,0.3956427811622906,-0.8912524250598658,-0.9458117888658438,1.0562604600752674,-0.8037898006369487,0.717589721683844,1.3044741769553976,-1.3910277445330208,0.6740738783870954,-1.0514780715352523,-2.7103248252818393,-0.9377103246754441,-1.446314527512621,-0.31866237260910374,-1.765199372862266,-1.0592769246465674
12,-0.30629736248092104,-0.2685354647828788,-2.738165403851602,-0.006325548457222807,-0.328681579633467,0.6114779836498216,1.3967169906050003,0.33219805522754847,-0.6704911999458081,-0.4230565793878467,0.9314797249569843,-1.5637677382841808,-2.3140392196180444,-0.3427725999308006,0.3931343685835258,-0.8921073991836123,-0.9470952039258568,1.0560734451835776,-0.8047571509362045,0.7166260577100906,1.3068603696435017,-1.3905458108381181,0.6740696778040242,-1.0499775047949615,-2.7084681514606967,-0.9361283829075994,-1.4440421423445848,-0.3157175222400466,-1.7645533159414326,-1.057200716232533
