angle_0,angle_1,angle_2,angle_3,angle_4,angle_5,angle_6,angle_7,angle_8,angle_9
-1.627273016059715,-1.6396691969262265,-1.3894755724071388,-1.7725554466404765,-1.7613122847390787,-2.695305107087753,-1.8526692159584959,-2.500021311853414,-2.1508171027120424,-2.367768634787554
-2.359336948877133,-2.107048287643365,-2.407170398933603,-1.422544888504838,-2.1019210954206486,-1.7722727755949312,-1.9698589759132945,-1.7616601530660594,-1.6448471073789444,-2.44554011407529
-1.9763762312650714,-2.090131246240492,-2.223192442307648,-2.0049899551015065,-2.595949873266294,-2.5041434584263795,-2.1410274043273723,-2.198383494240469,-2.502859357776787,-1.5761753034609622
-1.7939713984429162,-2.486427002430399,-1.6912488364369278,-2.782552302066407,-2.272868598141068,-1.6504728936619733,-1.906947226644025,-2.3793667733246195,-2.184454124963988,-1.579681637849757
-2.4448282980705054,-2.5994055115306876,-2.36032585200027,-1.971152125441962,-1.9372108110393833,-2.01223229864399,-1.8997962904899155,-2.0842679067520087,-2.366993270665173,-2.1555276636589262
-2.229091877713636,-2.5341986399109144,-2.6358846503516604,-2.149737398966841,-1.9150053649829657,-2.5927184636550007,-1.989305088478703,-2.2281849950933927,-1.8944660198308991,-1.7298437171110512
-1.6629408789703484,-2.6952249401937,-2.3297069642379493,-2.74260471898194,-2.620582916772177,-2.406860976288022,-1.6265084199935305,-1.9801993401660902,-1.7623771931177294,-2.614371829867733
-1.945585670122833,-2.3385148975091496,-1.8133383998735517,-1.6890303305239582,-1.9642121561622568,-2.0945822088497352,-2.6914281029177176,-2.084118146440547,-2.3452072522093914,-1.78606473221992
-1.6656638658242064,-1.7703817834233984,-1.5266515231334412,-2.082694225130485,-2.0746907769559257,-1.8777042737532723,-1.9586165808674056,-1.6308939676307743,-1.9284950089926463,-1.6958351324920802
-1.7341154504508824,-2.148893506503974,-1.8082428309494787,-2.38616747581457,-1.8864662356087085,-1.9658737461176947,-2.2669043106024596,-2.37770564393518,-2.2887495701241725,-2.042324342944815
-1.938174703850697,-2.256019759625121,-2.0311278216655055,-2.3204615139071305,-2.501986419193136,-2.625640064766075,-1.8890429819075962,-1.794875374357036,-2.256281021245466,-2.5662844717434203
-1.8576588119613942,-2.101800494613716,-2.774182788634973,-2.708753011344057,-1.6041957529742628,-1.714795964581656,-2.265235431122089,-1.8992026406558589,-1.984024245617615,-1.9561664913809094
-2.0972425771240126,-2.627644553093227,-1.5252743921905756,-1.558176912847974,-1.9344712730889844,-2.3880085246169207,-2.4510901383799006,-1.5207001710881571,-2.6152277251305627,-2.641354611723779
